"productId","slug","currentImage","requiredViews"
"s001","shababuna-pro-game-set","/images/catalog/apparel.svg","front|back|detail|packaging"
"s002","shababuna-elite-game-jersey","/images/catalog/jersey.svg","front|back|detail|packaging"
"s003","shababuna-court-game-shorts","/images/catalog/shorts.svg","front|back|detail|packaging"
"s004","shababuna-reversible-practice-jersey","/images/catalog/training.svg","front|back|detail|packaging"
"s005","shababuna-practice-shorts","/images/catalog/shorts.svg","front|back|detail|packaging"
"s006","built-different-performance-tee","/images/catalog/training.svg","front|back|detail|packaging"
"s007","shababuna-heavyweight-hoodie","/images/catalog/hoodie.svg","front|back|detail|packaging"
"s008","shababuna-travel-pants","/images/catalog/pants.svg","front|back|detail|packaging"
"s009","shababuna-team-tracksuit","/images/catalog/apparel.svg","front|back|detail|packaging"
"s010","shababuna-compression-top","/images/catalog/training.svg","front|back|detail|packaging"
"s011","shababuna-pro-basketball-socks","/images/catalog/accessories.svg","front|back|detail|packaging"
"s020","nike-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s021","adidas-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s022","jordan-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s023","under-armour-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s024","puma-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s025","new-balance-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s026","li-ning-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s027","anta-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s028","peak-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s029","361-in-court-basketball-shoe","/images/catalog/shoe.svg","front|back|detail|packaging"
"s030","nike-off-court-basketball-shoe","/images/catalog/lifestyle-shoe.svg","front|back|detail|packaging"
"s031","shababuna-recovery-slides","/images/catalog/lifestyle-shoe.svg","front|back|detail|packaging"
"s040","shababuna-elite-basketball-backpack","/images/catalog/bag.svg","front|back|detail|packaging"
"s041","shababuna-team-duffle","/images/catalog/bag.svg","front|back|detail|packaging"
"s042","shababuna-performance-arm-sleeve","/images/catalog/sleeve.svg","front|back|detail|packaging"
"s043","basketball-ankle-support","/images/catalog/sleeve.svg","front|back|detail|packaging"
"s044","shababuna-team-towel","/images/catalog/accessories.svg","front|back|detail|packaging"
"s045","custom-team-sticker-pack","/images/catalog/accessories.svg","front|back|detail|packaging"
"s046","basketball-training-cone-set","/images/catalog/equipment.svg","front|back|detail|packaging"
"s047","shababuna-court-cap","/images/catalog/accessories.svg","front|back|detail|packaging"
"s048","shababuna-performance-bottle","/images/catalog/accessories.svg","front|back|detail|packaging"
"s049","custom-woven-team-patch","/images/catalog/accessories.svg","front|back|detail|packaging"
"s050","molten-indoor-game-basketball","/images/catalog/ball.svg","front|back|detail|packaging"
"s051","wilson-indoor-outdoor-basketball","/images/catalog/ball.svg","front|back|detail|packaging"
"s052","spalding-outdoor-basketball","/images/catalog/ball.svg","front|back|detail|packaging"
"s053","shababuna-custom-team-basketball","/images/catalog/custom.svg","front|back|detail|packaging"
"s060","competition-basketball-hoop-system","/images/catalog/hoop.svg","front|back|detail|packaging"
"s061","tempered-glass-backboard","/images/catalog/hoop.svg","front|back|detail|packaging"
"s062","professional-spring-rim","/images/catalog/hoop.svg","front|back|detail|packaging"
"s063","24-second-shot-clock-set","/images/catalog/shot-clock.svg","front|back|detail|packaging"
"s064","basketball-ball-cart","/images/catalog/equipment.svg","front|back|detail|packaging"
"s066","professional-court-padding-set","/images/catalog/equipment.svg","front|back|detail|packaging"
"s065","electric-ball-pump-kit","/images/catalog/equipment.svg","front|back|detail|packaging"
